1F,1FSUS,audio_1,Tocca il bottone rosso,
1F,1FSUS,audio_2,Tocca il bottone verde,
1F,1FSUS,audio_3,Tocca il bottone giallo,
1F,1FSUS,audio_4,Tocca il bottone blu,
1F,1FSUS,audio_5,Tocca le scimmie,
1F,1FSUS,audio_6,Tocca i leoni,
1F,1FSUS,audio_7,Tocca i pappagalli,
1F,1FSUS,audio_8,Tocca i polipi,
1F,1FSUS,audio_9,Tocca i gelati,
1F,1FSUS,audio_10,Tocca i paia di occhiali da sole,
1F,1FSUS,audio_11,Tocca le biciclette,
1F,1FSUS,audio_12,Tocca i monopattini,
1F,1FSUS,audio_13,Tocca gli ombrelli,
1F,1FSUS,audio_14,Tocca le bambine,
1F,1FSUD,audio_15,Tocca il bottone rosso e il bottone verde,
1F,1FSUD,audio_16,Tocca il bottone rosso e il bottone giallo,
1F,1FSUD,audio_17,Tocca il bottone rosso e il bottone blu,
1F,1FSUD,audio_18,Tocca il bottone verde e il bottone blu,
1F,1FSUD,audio_19,Tocca il bottone verde e il bottone giallo,
1F,1FSUD,audio_20,Tocca il bottone gialloe il bottone blu,
1F,1FSUD,audio_21,Tocca i leoni e le scimmie,
1F,1FSUD,audio_22,Tocca i leoni e i polipi,
1F,1FSUD,audio_23,Tocca i leoni e i pappagalli,
1F,1FSUD,audio_24,Tocca i leoni e i gelati,
1F,1FSUD,audio_25,Tocca i leoni e tutti gli occhiali da sole,
1F,1FSUD,audio_26,Tocca i leoni e le biciclette,
1F,1FSUD,audio_27,Tocca i leoni e i monopattini,
1F,1FSUD,audio_28,Tocca i leoni e gli ombrelli,
1F,1FSUD,audio_29,Tocca i leoni e le bambine,
1F,1FSUD,audio_30,Tocca le scimmie e i polipi,
1F,1FSUD,audio_31,Tocca le scimmie e i pappagalli,
1F,1FSUD,audio_32,Tocca le scimmie e i gelati,
1F,1FSUD,audio_33,Tocca le scimmie e tutti gli occhiali da sole,
1F,1FSUD,audio_34,Tocca le scimmie e le biciclette,
1F,1FSUD,audio_35,Tocca le scimmie e i monopattini,
1F,1FSUD,audio_36,Tocca le scimmie e gli ombrelli,
1F,1FSUD,audio_37,Tocca le scimmie e le bambine,
1F,1FSUD,audio_38,Tocca i pappagalli e i polipi,
1F,1FSUD,audio_39,Tocca i pappagalli e i gelati,
1F,1FSUD,audio_40,Tocca i pappagalli e tutti gli occhiali da sole,
1F,1FSUD,audio_41,Tocca i pappagalli e le biciclette,
1F,1FSUD,audio_42,Tocca i pappagalli e i monopattini,
1F,1FSUD,audio_43,Tocca i pappagalli e gli ombrelli,
1F,1FSUD,audio_44,Tocca i pappagalli e le bambine,
1F,1FSUD,audio_45,Tocca i polipi e i gelati,
1F,1FSUD,audio_46,Tocca i polipi e tutti gli occhiali da sole,
1F,1FSUD,audio_47,Tocca i polipi e le biciclette,
1F,1FSUD,audio_48,Tocca i polipi e i monopattini,
1F,1FSUD,audio_49,Tocca i polipi e gli ombrelli,
1F,1FSUD,audio_50,Tocca i polipi e le bambine,
1F,1FSUD,audio_51,Tocca i gelati e tutti gli occhiali da sole,
1F,1FSUD,audio_52,Tocca i gelati e le biciclette,
1F,1FSUD,audio_53,Tocca i gelati e i monopattini,
1F,1FSUD,audio_54,Tocca i gelati e gli ombrelli,
1F,1FSUD,audio_55,Tocca i gelati e le bambine,
1F,1FSUD,audio_56,Tocca tutti gli occhiali da sole e le biciclette,
1F,1FSUD,audio_57,Tocca tutti gli occhiali da sole e \ti monopattini,
1F,1FSUD,audio_58,Tocca tutti gli occhiali da sole e gli ombrelli,
1F,1FSUD,audio_59,Tocca tutti gli occhiali da sole e le bambine,
1F,1FSUD,audio_60,Tocca le biciclette e i monopattini,
1F,1FSUD,audio_61,Tocca le biciclette e gli ombrelli,
1F,1FSUD,audio_62,Tocca le biciclette e le bambine,
1F,1FSUD,audio_63,Tocca i monopattini e gli ombrelli,
1F,1FSUD,audio_64,Tocca i monopattini e le bambine,
1F,1FSUD,audio_65,Tocca gli ombrelli e le bambine,
1F,1FSUDT,audio_66,Tocca nello stesso momento il bottone rosso e il bottone verde,
1F,1FSUDT,audio_67,Tocca nello stesso momento il bottone rosso e il bottone giallo,
1F,1FSUDT,audio_68,Tocca nello stesso momento il bottone rosso e il bottone blu,
1F,1FSUDT,audio_69,Tocca nello stesso momento il bottone giallo e il bottone verde,
